city,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,wind_gusts_10m_max
Ho Chi Minh City,10.82,106.63,2020-01-01,33.9,23.1,28.8,0.0,20.82,18.3,33.8
Ho Chi Minh City,10.82,106.63,2020-01-02,33.8,22.9,28.6,0.0,18.64,16.0,30.2
Ho Chi Minh City,10.82,106.63,2020-01-03,33.6,23.1,28.4,0.0,18.72,14.1,27.7
Ho Chi Minh City,10.82,106.63,2020-01-04,33.5,23.5,27.8,0.0,16.95,12.7,23.4
Ho Chi Minh City,10.82,106.63,2020-01-05,33.0,22.8,27.6,0.0,21.11,14.7,24.1
Ho Chi Minh City,10.82,106.63,2020-01-06,34.0,22.0,27.7,0.0,19.4,15.2,28.8
Ho Chi Minh City,10.82,106.63,2020-01-07,34.3,24.2,29.0,0.3,19.47,14.5,25.6
Ho Chi Minh City,10.82,106.63,2020-01-08,35.5,25.2,29.7,0.0,18.35,12.9,29.9
Ho Chi Minh City,10.82,106.63,2020-01-09,34.9,24.5,28.9,0.2,20.52,15.0,27.4
Ho Chi Minh City,10.82,106.63,2020-01-10,34.2,24.6,28.9,0.0,19.32,16.0,26.6
Ho Chi Minh City,10.82,106.63,2020-01-11,32.5,24.2,28.0,0.1,17.71,16.0,26.6
Ho Chi Minh City,10.82,106.63,2020-01-12,31.5,24.8,27.3,0.9,13.73,17.6,29.5
Ho Chi Minh City,10.82,106.63,2020-01-13,33.0,22.2,27.3,0.0,21.31,17.3,28.4
Ho Chi Minh City,10.82,106.63,2020-01-14,33.4,22.3,27.1,0.0,21.69,21.5,37.4
Ho Chi Minh City,10.82,106.63,2020-01-15,33.2,21.6,27.0,0.0,21.83,17.1,32.4
Ho Chi Minh City,10.82,106.63,2020-01-16,34.0,22.2,27.9,0.0,20.29,15.9,26.6
Ho Chi Minh City,10.82,106.63,2020-01-17,33.8,23.5,28.0,0.0,19.74,19.4,34.2
Ho Chi Minh City,10.82,106.63,2020-01-18,32.3,23.7,27.4,0.1,16.53,17.1,27.7
Ho Chi Minh City,10.82,106.63,2020-01-19,33.8,23.1,27.8,0.0,20.66,16.8,26.3
Ho Chi Minh City,10.82,106.63,2020-01-20,34.6,23.4,28.2,0.0,21.52,19.1,32.4
Ho Chi Minh City,10.82,106.63,2020-01-21,35.1,24.1,28.7,0.0,21.89,19.2,33.8
Ho Chi Minh City,10.82,106.63,2020-01-22,35.0,23.6,28.7,0.0,20.39,20.4,34.2
Ho Chi Minh City,10.82,106.63,2020-01-23,34.8,24.2,28.5,0.0,19.88,20.0,36.4
Ho Chi Minh City,10.82,106.63,2020-01-24,35.6,22.9,28.2,0.0,22.11,24.0,41.0
Ho Chi Minh City,10.82,106.63,2020-01-25,33.0,23.8,27.5,0.0,18.57,19.7,34.9
Ho Chi Minh City,10.82,106.63,2020-01-26,34.0,23.0,27.4,0.0,21.54,21.0,38.2
Ho Chi Minh City,10.82,106.63,2020-01-27,32.8,23.5,26.9,0.4,19.12,21.9,38.9
Ho Chi Minh City,10.82,106.63,2020-01-28,33.6,22.7,26.9,0.0,20.17,23.1,42.5
Ho Chi Minh City,10.82,106.63,2020-01-29,32.8,22.0,26.6,0.0,19.28,21.1,36.7
Ho Chi Minh City,10.82,106.63,2020-01-30,31.9,23.4,27.1,0.4,16.85,16.1,31.3
